VAE KL,Epoch Train Time,SVI KL,VAE PPL,AR PPL,VAE NLL,Epoch,Mode,VAE REC,SVI NLL,AR NLL,SVI REC,SVI PPL,LR
tensor(3.8307),25.615519046783447,tensor(0.),tensor(121.1346),tensor(1.),tensor(105.1339),14,Test,tensor(101.3032),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.0007938926261462366
tensor(3.3166),25.54183554649353,tensor(0.),tensor(124.5249),tensor(1.),tensor(105.5951),15,Val,tensor(102.2785),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.0006545084971874737
tensor(3.2631),25.54183554649353,tensor(0.),tensor(118.2423),tensor(1.),tensor(104.6043),15,Test,tensor(101.3412),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.0006545084971874737
tensor(3.0461),25.658419847488403,tensor(0.),tensor(122.9202),tensor(1.),tensor(105.3112),16,Val,tensor(102.2652),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.0005
tensor(2.9898),25.658419847488403,tensor(0.),tensor(116.3107),tensor(1.),tensor(104.2433),16,Test,tensor(101.2535),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.0005
tensor(3.0115),25.73390793800354,tensor(0.),tensor(121.7164),tensor(1.),tensor(105.0958),17,Val,tensor(102.0843),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.00034549150281252633
tensor(2.9578),25.73390793800354,tensor(0.),tensor(114.7821),tensor(1.),tensor(103.9533),17,Test,tensor(100.9955),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.00034549150281252633
tensor(2.9726),25.575281143188477,tensor(0.),tensor(121.0929),tensor(1.),tensor(104.9834),18,Val,tensor(102.0108),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.00020610737385376348
tensor(2.9227),25.575281143188477,tensor(0.),tensor(114.2504),tensor(1.),tensor(103.8516),18,Test,tensor(100.9289),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.00020610737385376348
tensor(2.9398),25.923083543777466,tensor(0.),tensor(120.4644),tensor(1.),tensor(104.8695),19,Val,tensor(101.9297),tensor(0.),tensor(0.),tensor(0.),tensor(1.),9.549150281252633e-05
tensor(2.8909),25.923083543777466,tensor(0.),tensor(113.5825),tensor(1.),tensor(103.7231),19,Test,tensor(100.8322),tensor(0.),tensor(0.),tensor(0.),tensor(1.),9.549150281252633e-05
tensor(2.9313),25.870476484298706,tensor(0.),tensor(120.3290),tensor(1.),tensor(104.8449),20,Val,tensor(101.9136),tensor(0.),tensor(0.),tensor(0.),tensor(1.),2.4471741852423235e-05
tensor(2.8823),25.870476484298706,tensor(0.),tensor(113.8387),tensor(1.),tensor(103.7724),20,Test,tensor(100.8901),tensor(0.),tensor(0.),tensor(0.),tensor(1.),2.4471741852423235e-05
tensor(8.4222),25.82199478149414,tensor(0.),tensor(136.7686),tensor(1.),tensor(107.6478),21,Val,tensor(99.2256),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001
tensor(8.3122),25.82199478149414,tensor(0.),tensor(129.7892),tensor(1.),tensor(106.6464),21,Test,tensor(98.3342),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001
tensor(6.6093),26.018702507019043,tensor(0.),tensor(129.6743),tensor(1.),tensor(106.4820),22,Val,tensor(99.8727),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.0009755282581475768
tensor(6.5547),26.018702507019043,tensor(0.),tensor(122.8513),tensor(1.),tensor(105.4423),22,Test,tensor(98.8876),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.0009755282581475768
tensor(5.3316),25.75256323814392,tensor(0.),tensor(123.5044),tensor(1.),tensor(105.4150),23,Val,tensor(100.0835),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.0009045084971874737
tensor(5.2530),25.75256323814392,tensor(0.),tensor(116.9284),tensor(1.),tensor(104.3594),23,Test,tensor(99.1064),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.0009045084971874737
tensor(4.4413),25.710845470428467,tensor(0.),tensor(119.9709),tensor(1.),tensor(104.7797),24,Val,tensor(100.3384),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.0007938926261462366
