Epoch Train Time,Mode,VAE REC,VAE NLL,Epoch,AR PPL,SVI KL,VAE KL,AR NLL,SVI NLL,SVI REC,SVI PPL,LR,VAE PPL
25.42214274406433,Val,tensor(102.0534),tensor(103.9056),30,tensor(1.),tensor(0.),tensor(1.8521),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(115.2740)
25.42214274406433,Test,tensor(100.7801),tensor(102.5898),30,tensor(1.),tensor(0.),tensor(1.8097),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(107.8588)
25.668594121932983,Val,tensor(102.1734),tensor(104.0120),31,tensor(1.),tensor(0.),tensor(1.8386),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(115.8358)
25.668594121932983,Test,tensor(100.8587),tensor(102.6602),31,tensor(1.),tensor(0.),tensor(1.8014),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(108.2056)
25.48403835296631,Val,tensor(102.1348),tensor(103.9167),32,tensor(1.),tensor(0.),tensor(1.7819),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(115.3329)
25.48403835296631,Test,tensor(100.8108),tensor(102.5643),32,tensor(1.),tensor(0.),tensor(1.7535),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(107.7333)
25.2363224029541,Val,tensor(102.1755),tensor(103.9500),33,tensor(1.),tensor(0.),tensor(1.7745),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(115.5083)
25.2363224029541,Test,tensor(100.8171),tensor(102.5618),33,tensor(1.),tensor(0.),tensor(1.7447),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(107.7210)
25.423125743865967,Val,tensor(102.2087),tensor(103.9808),34,tensor(1.),tensor(0.),tensor(1.7721),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(115.6709)
25.423125743865967,Test,tensor(100.8267),tensor(102.5754),34,tensor(1.),tensor(0.),tensor(1.7487),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(107.7881)
21.49659013748169,Val,tensor(102.0735),tensor(103.8277),35,tensor(1.),tensor(0.),tensor(1.7541),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(114.8645)
