SVI REC,SVI KL,AR NLL,AR PPL,VAE NLL,SVI NLL,VAE REC,Mode,VAE PPL,Epoch,LR,Epoch Train Time,VAE KL,SVI PPL
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(102.7757),tensor(0.),tensor(101.7262),Test,tensor(108.7775),20,0.001,25.012082815170288,tensor(1.0495),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(103.8507),tensor(0.),tensor(102.7559),Val,tensor(114.9855),21,0.001,24.23642134666443,tensor(1.0948),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(102.6120),tensor(0.),tensor(101.5541),Test,tensor(107.9681),21,0.001,24.23642134666443,tensor(1.0579),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(104.0017),tensor(0.),tensor(102.9113),Val,tensor(115.7816),22,0.001,25.668612480163574,tensor(1.0904),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(102.7984),tensor(0.),tensor(101.7478),Test,tensor(108.8904),22,0.001,25.668612480163574,tensor(1.0506),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(103.8760),tensor(0.),tensor(102.8015),Val,tensor(115.1186),23,0.001,25.66102147102356,tensor(1.0746),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(102.6228),tensor(0.),tensor(101.5972),Test,tensor(108.0215),23,0.001,25.66102147102356,tensor(1.0256),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(103.7666),tensor(0.),tensor(102.7831),Val,tensor(114.5447),24,0.001,25.443742752075195,tensor(0.9835),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(102.5599),tensor(0.),tensor(101.6208),Test,tensor(107.7117),24,0.001,25.443742752075195,tensor(0.9391),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(103.9295),tensor(0.),tensor(102.9298),Val,tensor(115.4000),25,0.001,25.461210012435913,tensor(0.9996),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(102.6323),tensor(0.),tensor(101.6801),Test,tensor(108.0681),25,0.001,25.461210012435913,tensor(0.9522),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(103.8123),tensor(0.),tensor(102.8584),Val,tensor(114.7837),26,0.001,23.620999336242676,tensor(0.9539),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(102.5154),tensor(0.),tensor(101.6117),Test,tensor(107.4931),26,0.001,23.620999336242676,tensor(0.9036),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(104.1776),tensor(0.),tensor(103.2225),Val,tensor(116.7157),27,0.001,25.029717445373535,tensor(0.9551),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(102.8614),tensor(0.),tensor(101.9555),Test,tensor(109.2038),27,0.001,25.029717445373535,tensor(0.9059),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(103.7604),tensor(0.),tensor(102.8021),Val,tensor(114.5119),28,0.001,25.794278860092163,tensor(0.9583),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(102.5244),tensor(0.),tensor(101.6123),Test,tensor(107.5373),28,0.001,25.794278860092163,tensor(0.9121),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(103.9195),tensor(0.),tensor(103.0055),Val,tensor(115.3476),29,0.001,25.660212516784668,tensor(0.9140),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(102.6070),tensor(0.),tensor(101.7456),Test,tensor(107.9436),29,0.001,25.660212516784668,tensor(0.8614),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(103.9126),tensor(0.),tensor(103.0208),Val,tensor(115.3109),30,0.001,25.237871885299683,tensor(0.8918),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(102.6055),tensor(0.),tensor(101.7646),Test,tensor(107.9359),30,0.001,25.237871885299683,tensor(0.8408),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(104.0340),tensor(0.),tensor(103.1438),Val,tensor(115.9523),31,0.001,20.26102066040039,tensor(0.8902),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(102.6865),tensor(0.),tensor(101.8457),Test,tensor(108.3357),31,0.001,20.26102066040039,tensor(0.8408),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(103.9252),tensor(0.),tensor(102.9988),Val,tensor(115.3776),32,0.001,20.458325147628784,tensor(0.9264),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(102.5140),tensor(0.),tensor(101.6351),Test,tensor(107.4866),32,0.001,20.458325147628784,tensor(0.8789),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(104.1324),tensor(0.),tensor(103.2271),Val,tensor(116.4750),33,0.001,23.827716827392578,tensor(0.9053),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(102.6387),tensor(0.),tensor(101.7860),Test,tensor(108.0997),33,0.001,23.827716827392578,tensor(0.8527),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(104.1220),tensor(0.),tensor(103.2000),Val,tensor(116.4195),34,0.001,25.46343469619751,tensor(0.9220),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(102.6572),tensor(0.),tensor(101.7848),Test,tensor(108.1910),34,0.001,25.46343469619751,tensor(0.8724),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(104.1020),tensor(0.),tensor(103.1899),Val,tensor(116.3134),35,0.001,25.308247327804565,tensor(0.9121),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(102.6304),tensor(0.),tensor(101.7664),Test,tensor(108.0588),35,0.001,25.308247327804565,tensor(0.8640),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(104.0490),tensor(0.),tensor(103.1384),Val,tensor(116.0320),36,0.001,25.440770387649536,tensor(0.9106),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(102.5993),tensor(0.),tensor(101.7389),Test,tensor(107.9054),36,0.001,25.440770387649536,tensor(0.8604),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(104.0403),tensor(0.),tensor(103.1219),Val,tensor(115.9860),37,0.001,25.41389536857605,tensor(0.9185),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(102.5358),tensor(0.),tensor(101.6612),Test,tensor(107.5934),37,0.001,25.41389536857605,tensor(0.8747),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(104.1104),tensor(0.),tensor(103.2075),Val,tensor(116.3580),38,0.001,25.50491952896118,tensor(0.9029),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(102.5950),tensor(0.),tensor(101.7384),Test,tensor(107.8843),38,0.001,25.50491952896118,tensor(0.8566),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(104.2180),tensor(0.),tensor(103.3419),Val,tensor(116.9315),39,0.001,25.696442365646362,tensor(0.8761),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(102.7562),tensor(0.),tensor(101.9255),Test,tensor(108.6809),39,0.001,25.696442365646362,tensor(0.8308),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(104.0934),tensor(0.),tensor(103.1707),Val,tensor(116.2676),40,0.001,24.644067764282227,tensor(0.9227),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(102.5888),tensor(0.),tensor(101.7166),Test,tensor(107.8539),40,0.001,24.644067764282227,tensor(0.8722),tensor(1.)
