SVI PPL,SVI NLL,SVI REC,LR,AR PPL,VAE KL,Mode,VAE NLL,VAE REC,SVI KL,Epoch Train Time,Epoch,VAE PPL,AR NLL
tensor(1.),tensor(0.),tensor(0.),0.0005,tensor(1.),tensor(1.4264),Val,tensor(104.9041),tensor(103.4777),tensor(0.),25.651415824890137,16,tensor(120.6548),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),0.0005,tensor(1.),tensor(1.3635),Test,tensor(103.8247),tensor(102.4611),tensor(0.),25.651415824890137,16,tensor(114.1104),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),0.00034549150281252633,tensor(1.),tensor(1.3481),Val,tensor(104.7114),tensor(103.3633),tensor(0.),25.853224515914917,17,tensor(119.5973),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),0.00034549150281252633,tensor(1.),tensor(1.2881),Test,tensor(103.6103),tensor(102.3223),tensor(0.),25.853224515914917,17,tensor(112.9999),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),0.00020610737385376348,tensor(1.),tensor(1.3877),Val,tensor(104.6540),tensor(103.2663),tensor(0.),25.578652143478394,18,tensor(119.2837),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),0.00020610737385376348,tensor(1.),tensor(1.3301),Test,tensor(103.5473),tensor(102.2172),tensor(0.),25.578652143478394,18,tensor(112.6751),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),9.549150281252633e-05,tensor(1.),tensor(1.3642),Val,tensor(104.5443),tensor(103.1801),tensor(0.),25.637889623641968,19,tensor(118.6880),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),9.549150281252633e-05,tensor(1.),tensor(1.3065),Test,tensor(103.4671),tensor(102.1606),tensor(0.),25.637889623641968,19,tensor(112.2637),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),2.4471741852423235e-05,tensor(1.),tensor(1.3608),Val,tensor(104.5125),tensor(103.1517),tensor(0.),25.58309292793274,20,tensor(118.5155),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),2.4471741852423235e-05,tensor(1.),tensor(1.3026),Test,tensor(103.4848),tensor(102.1822),tensor(0.),25.58309292793274,20,tensor(112.3546),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),0.001,tensor(1.),tensor(5.0593),Val,tensor(106.1522),tensor(101.0928),tensor(0.),25.683500051498413,21,tensor(127.7348),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),0.001,tensor(1.),tensor(5.0383),Test,tensor(105.2070),tensor(100.1687),tensor(0.),25.683500051498413,21,tensor(121.5392),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),0.0009755282581475768,tensor(1.),tensor(4.1074),Val,tensor(105.4080),tensor(101.3006),tensor(0.),25.279911518096924,22,tensor(123.4648),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),0.0009755282581475768,tensor(1.),tensor(4.0761),Test,tensor(104.3627),tensor(100.2866),tensor(0.),25.279911518096924,22,tensor(116.9463),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),0.0009045084971874737,tensor(1.),tensor(3.2061),Val,tensor(104.6852),tensor(101.4791),tensor(0.),25.856796264648438,23,tensor(119.4540),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),0.0009045084971874737,tensor(1.),tensor(3.1398),Test,tensor(103.6569),tensor(100.5171),tensor(0.),25.856796264648438,23,tensor(113.2402),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),0.0007938926261462366,tensor(1.),tensor(2.3614),Val,tensor(104.3007),tensor(101.9393),tensor(0.),25.866787910461426,24,tensor(117.3742),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),0.0007938926261462366,tensor(1.),tensor(2.3071),Test,tensor(103.2389),tensor(100.9318),tensor(0.),25.866787910461426,24,tensor(111.1007),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),0.0006545084971874737,tensor(1.),tensor(1.9446),Val,tensor(104.2144),tensor(102.2698),tensor(0.),25.813758373260498,25,tensor(116.9121),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),0.0006545084971874737,tensor(1.),tensor(1.8808),Test,tensor(103.1076),tensor(101.2269),tensor(0.),25.813758373260498,25,tensor(110.4374),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),0.0005,tensor(1.),tensor(1.7308),Val,tensor(103.9756),tensor(102.2448),tensor(0.),25.81767201423645,26,tensor(115.6434),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),0.0005,tensor(1.),tensor(1.6731),Test,tensor(102.8209),tensor(101.1478),tensor(0.),25.81767201423645,26,tensor(109.0022),tensor(0.)
