VAE NLL,AR PPL,LR,SVI NLL,SVI REC,Mode,Epoch Train Time,AR NLL,VAE REC,SVI PPL,SVI KL,Epoch,VAE KL,VAE PPL
tensor(108.2683),tensor(1.),0.0007938926261462366,tensor(0.),tensor(0.),Val,669.5534806251526,tensor(0.),tensor(99.5517),tensor(1.),tensor(0.),14,tensor(8.7166),tensor(140.7015)
tensor(107.0862),tensor(1.),0.0007938926261462366,tensor(0.),tensor(0.),Test,669.5534806251526,tensor(0.),tensor(98.3394),tensor(1.),tensor(0.),14,tensor(8.7467),tensor(132.4197)
tensor(107.7412),tensor(1.),0.0006545084971874737,tensor(0.),tensor(0.),Val,664.4091491699219,tensor(0.),tensor(99.3186),tensor(1.),tensor(0.),15,tensor(8.4226),tensor(137.3535)
tensor(106.5745),tensor(1.),0.0006545084971874737,tensor(0.),tensor(0.),Test,664.4091491699219,tensor(0.),tensor(98.1274),tensor(1.),tensor(0.),15,tensor(8.4471),tensor(129.3642)
tensor(107.2996),tensor(1.),0.0005,tensor(0.),tensor(0.),Val,670.0474786758423,tensor(0.),tensor(98.9483),tensor(1.),tensor(0.),16,tensor(8.3513),tensor(134.6102)
tensor(106.0024),tensor(1.),0.0005,tensor(0.),tensor(0.),Test,670.0474786758423,tensor(0.),tensor(97.6344),tensor(1.),tensor(0.),16,tensor(8.3680),tensor(126.0312)
tensor(106.7313),tensor(1.),0.00034549150281252633,tensor(0.),tensor(0.),Val,661.7789912223816,tensor(0.),tensor(98.6421),tensor(1.),tensor(0.),17,tensor(8.0892),tensor(131.1598)
tensor(105.5501),tensor(1.),0.00034549150281252633,tensor(0.),tensor(0.),Test,661.7789912223816,tensor(0.),tensor(97.4448),tensor(1.),tensor(0.),17,tensor(8.1053),tensor(123.4569)
tensor(106.6353),tensor(1.),0.00020610737385376348,tensor(0.),tensor(0.),Val,662.6407344341278,tensor(0.),tensor(98.4286),tensor(1.),tensor(0.),18,tensor(8.2067),tensor(130.5856)
tensor(105.4637),tensor(1.),0.00020610737385376348,tensor(0.),tensor(0.),Test,662.6407344341278,tensor(0.),tensor(97.2439),tensor(1.),tensor(0.),18,tensor(8.2198),tensor(122.9710)
tensor(106.4716),tensor(1.),9.549150281252633e-05,tensor(0.),tensor(0.),Val,664.0172564983368,tensor(0.),tensor(98.4283),tensor(1.),tensor(0.),19,tensor(8.0433),tensor(129.6125)
tensor(105.1970),tensor(1.),9.549150281252633e-05,tensor(0.),tensor(0.),Test,664.0172564983368,tensor(0.),tensor(97.1432),tensor(1.),tensor(0.),19,tensor(8.0538),tensor(121.4837)
tensor(106.4199),tensor(1.),2.4471741852423235e-05,tensor(0.),tensor(0.),Val,670.6328370571136,tensor(0.),tensor(98.5103),tensor(1.),tensor(0.),20,tensor(7.9096),tensor(129.3070)
tensor(105.1692),tensor(1.),2.4471741852423235e-05,tensor(0.),tensor(0.),Test,670.6328370571136,tensor(0.),tensor(97.2496),tensor(1.),tensor(0.),20,tensor(7.9196),tensor(121.3296)
tensor(106.5774),tensor(1.),0.001,tensor(0.),tensor(0.),Val,665.3908698558807,tensor(0.),tensor(99.7817),tensor(1.),tensor(0.),21,tensor(6.7957),tensor(130.2409)
tensor(105.4302),tensor(1.),0.001,tensor(0.),tensor(0.),Test,665.3908698558807,tensor(0.),tensor(98.6358),tensor(1.),tensor(0.),21,tensor(6.7944),tensor(122.7832)
tensor(106.4977),tensor(1.),0.0009755282581475768,tensor(0.),tensor(0.),Val,662.4133524894714,tensor(0.),tensor(100.5940),tensor(1.),tensor(0.),22,tensor(5.9037),tensor(129.7672)
tensor(105.3035),tensor(1.),0.0009755282581475768,tensor(0.),tensor(0.),Test,662.4133524894714,tensor(0.),tensor(99.4057),tensor(1.),tensor(0.),22,tensor(5.8979),tensor(122.0757)
tensor(105.7007),tensor(1.),0.0009045084971874737,tensor(0.),tensor(0.),Val,658.4544079303741,tensor(0.),tensor(99.9046),tensor(1.),tensor(0.),23,tensor(5.7961),tensor(125.1268)
tensor(104.4042),tensor(1.),0.0009045084971874737,tensor(0.),tensor(0.),Test,658.4544079303741,tensor(0.),tensor(98.6347),tensor(1.),tensor(0.),23,tensor(5.7695),tensor(117.1678)
tensor(105.4536),tensor(1.),0.0007938926261462366,tensor(0.),tensor(0.),Val,653.7173593044281,tensor(0.),tensor(99.9766),tensor(1.),tensor(0.),24,tensor(5.4770),tensor(123.7225)
tensor(104.1421),tensor(1.),0.0007938926261462366,tensor(0.),tensor(0.),Test,653.7173593044281,tensor(0.),tensor(98.6846),tensor(1.),tensor(0.),24,tensor(5.4575),tensor(115.7752)
tensor(105.2320),tensor(1.),0.0006545084971874737,tensor(0.),tensor(0.),Val,665.6150555610657,tensor(0.),tensor(99.7337),tensor(1.),tensor(0.),25,tensor(5.4984),tensor(122.4762)
tensor(103.9624),tensor(1.),0.0006545084971874737,tensor(0.),tensor(0.),Test,665.6150555610657,tensor(0.),tensor(98.4926),tensor(1.),tensor(0.),25,tensor(5.4698),tensor(114.8298)
tensor(104.9635),tensor(1.),0.0005,tensor(0.),tensor(0.),Val,661.8041923046112,tensor(0.),tensor(99.6397),tensor(1.),tensor(0.),26,tensor(5.3238),tensor(120.9828)
tensor(103.7466),tensor(1.),0.0005,tensor(0.),tensor(0.),Test,661.8041923046112,tensor(0.),tensor(98.4502),tensor(1.),tensor(0.),26,tensor(5.2965),tensor(113.7047)
tensor(104.8233),tensor(1.),0.00034549150281252633,tensor(0.),tensor(0.),Val,659.3812735080719,tensor(0.),tensor(99.5082),tensor(1.),tensor(0.),27,tensor(5.3152),tensor(120.2105)
tensor(103.4804),tensor(1.),0.00034549150281252633,tensor(0.),tensor(0.),Test,659.3812735080719,tensor(0.),tensor(98.1972),tensor(1.),tensor(0.),27,tensor(5.2832),tensor(112.3320)
tensor(104.7014),tensor(1.),0.00020610737385376348,tensor(0.),tensor(0.),Val,657.2863032817841,tensor(0.),tensor(99.4502),tensor(1.),tensor(0.),28,tensor(5.2513),tensor(119.5428)
tensor(103.3771),tensor(1.),0.00020610737385376348,tensor(0.),tensor(0.),Test,657.2863032817841,tensor(0.),tensor(98.1660),tensor(1.),tensor(0.),28,tensor(5.2111),tensor(111.8036)
tensor(104.6957),tensor(1.),9.549150281252633e-05,tensor(0.),tensor(0.),Val,659.9766929149628,tensor(0.),tensor(99.4702),tensor(1.),tensor(0.),29,tensor(5.2255),tensor(119.5116)
tensor(103.3974),tensor(1.),9.549150281252633e-05,tensor(0.),tensor(0.),Test,659.9766929149628,tensor(0.),tensor(98.2101),tensor(1.),tensor(0.),29,tensor(5.1873),tensor(111.9072)
tensor(104.6462),tensor(1.),2.4471741852423235e-05,tensor(0.),tensor(0.),Val,659.2496483325958,tensor(0.),tensor(99.4959),tensor(1.),tensor(0.),30,tensor(5.1503),tensor(119.2413)
tensor(103.3249),tensor(1.),2.4471741852423235e-05,tensor(0.),tensor(0.),Test,659.2496483325958,tensor(0.),tensor(98.2147),tensor(1.),tensor(0.),30,tensor(5.1103),tensor(111.5380)
tensor(105.0768),tensor(1.),0.001,tensor(0.),tensor(0.),Val,677.2547492980957,tensor(0.),tensor(100.7297),tensor(1.),tensor(0.),31,tensor(4.3471),tensor(121.6104)
tensor(103.7728),tensor(1.),0.001,tensor(0.),tensor(0.),Test,677.2547492980957,tensor(0.),tensor(99.4862),tensor(1.),tensor(0.),31,tensor(4.2866),tensor(113.8408)
tensor(104.7436),tensor(1.),0.0009755282581475768,tensor(0.),tensor(0.),Val,655.1949963569641,tensor(0.),tensor(100.7009),tensor(1.),tensor(0.),32,tensor(4.0426),tensor(119.7731)
tensor(103.5046),tensor(1.),0.0009755282581475768,tensor(0.),tensor(0.),Test,655.1949963569641,tensor(0.),tensor(99.5250),tensor(1.),tensor(0.),32,tensor(3.9796),tensor(112.4561)
tensor(104.6586),tensor(1.),0.0009045084971874737,tensor(0.),tensor(0.),Val,659.3286876678467,tensor(0.),tensor(100.7845),tensor(1.),tensor(0.),33,tensor(3.8741),tensor(119.3093)
tensor(103.2929),tensor(1.),0.0009045084971874737,tensor(0.),tensor(0.),Test,659.3286876678467,tensor(0.),tensor(99.4751),tensor(1.),tensor(0.),33,tensor(3.8179),tensor(111.3751)
tensor(104.4679),tensor(1.),0.0007938926261462366,tensor(0.),tensor(0.),Val,670.0725338459015,tensor(0.),tensor(100.7520),tensor(1.),tensor(0.),34,tensor(3.7160),tensor(118.2742)
tensor(103.0571),tensor(1.),0.0007938926261462366,tensor(0.),tensor(0.),Test,670.0725338459015,tensor(0.),tensor(99.4018),tensor(1.),tensor(0.),34,tensor(3.6553),tensor(110.1833)
tensor(104.3725),tensor(1.),0.0006545084971874737,tensor(0.),tensor(0.),Val,702.8707165718079,tensor(0.),tensor(100.7518),tensor(1.),tensor(0.),35,tensor(3.6207),tensor(117.7597)
tensor(103.0254),tensor(1.),0.0006545084971874737,tensor(0.),tensor(0.),Test,702.8707165718079,tensor(0.),tensor(99.4587),tensor(1.),tensor(0.),35,tensor(3.5667),tensor(110.0238)
tensor(104.2878),tensor(1.),0.0005,tensor(0.),tensor(0.),Val,664.5443859100342,tensor(0.),tensor(100.6059),tensor(1.),tensor(0.),36,tensor(3.6819),tensor(117.3051)
tensor(102.8250),tensor(1.),0.0005,tensor(0.),tensor(0.),Test,664.5443859100342,tensor(0.),tensor(99.2049),tensor(1.),tensor(0.),36,tensor(3.6200),tensor(109.0224)
tensor(104.1002),tensor(1.),0.00034549150281252633,tensor(0.),tensor(0.),Val,659.7360389232635,tensor(0.),tensor(100.6021),tensor(1.),tensor(0.),37,tensor(3.4980),tensor(116.3034)
tensor(102.7082),tensor(1.),0.00034549150281252633,tensor(0.),tensor(0.),Test,659.7360389232635,tensor(0.),tensor(99.2684),tensor(1.),tensor(0.),37,tensor(3.4399),tensor(108.4432)
tensor(104.0979),tensor(1.),0.00020610737385376348,tensor(0.),tensor(0.),Val,685.0526151657104,tensor(0.),tensor(100.4995),tensor(1.),tensor(0.),38,tensor(3.5984),tensor(116.2915)
tensor(102.7027),tensor(1.),0.00020610737385376348,tensor(0.),tensor(0.),Test,685.0526151657104,tensor(0.),tensor(99.1648),tensor(1.),tensor(0.),38,tensor(3.5380),tensor(108.4161)
tensor(104.0650),tensor(1.),9.549150281252633e-05,tensor(0.),tensor(0.),Val,657.588723897934,tensor(0.),tensor(100.4369),tensor(1.),tensor(0.),39,tensor(3.6281),tensor(116.1166)
tensor(102.5932),tensor(1.),9.549150281252633e-05,tensor(0.),tensor(0.),Test,657.588723897934,tensor(0.),tensor(99.0246),tensor(1.),tensor(0.),39,tensor(3.5687),tensor(107.8756)
tensor(104.0080),tensor(1.),2.4471741852423235e-05,tensor(0.),tensor(0.),Val,663.8824963569641,tensor(0.),tensor(100.3897),tensor(1.),tensor(0.),40,tensor(3.6182),tensor(115.8146)
tensor(102.6264),tensor(1.),2.4471741852423235e-05,tensor(0.),tensor(0.),Test,663.8824963569641,tensor(0.),tensor(99.0672),tensor(1.),tensor(0.),40,tensor(3.5592),tensor(108.0389)
